Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2,canonical_Id,canonical_Source,canonical_Site name,canonical_Address,canonical_Zip,canonical_Phone,canonical_Fax,canonical_Program Name,canonical_Length of Day,canonical_IDHS Provider ID,canonical_Agency,canonical_Neighborhood,canonical_Funded Enrollment,canonical_Program Option,canonical_Number per Site EHS,canonical_Number per Site HS,canonical_Director,canonical_Head Start Fund,canonical_Eearly Head Start Fund,canonical_CC fund,canonical_Progmod,canonical_Website,canonical_Executive Director,canonical_Center Director,canonical_ECE Available Programs,canonical_NAEYC Valid Until,canonical_NAEYC Program Id,canonical_Email Address,canonical_Ounce of Prevention Description,canonical_Purple binder service type,canonical_Column,canonical_Column2
187,0.8048997691699437,642,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - High Ridge YMCA,2424 W Touhy Ave ,,2628300,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'74',b'cps_early_childhood_portal_scrape.csv',b'ymca of metropolitan chicago - high ridge ymca',b'2424 w touhy',b'60645',b'2628300',b'',b'child care',b'half day/full day',b'',b'',b'west ridge',b'ymca of metropolitan chicago',b'west ridge',b'',b'',b'',b'',b'linda acevedo',b'yes',b'no',b'yes',"b'2132it(child care it center), 7094ps(hs collaboration with c'",b'www.ymcachicago.org',b'dorothy cole-gary',b'linda acevedo',b'',b'11/30/14',b'725321',b'',b'',b''
188,0.9350705913134983,643,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Carlos Cantu,2434 S Kildare Ave ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'76',b'cps_early_childhood_portal_scrape.csv',b'el valor - carlos cantu',b'2434 s kildare',b'60623',b'2422700',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'',b'el valor',b'south lawndale',b'',b'',b'',b'',b'irma carmona',b'yes',b'no',b'yes',"b'4305it(child care it center), 4305ps(child care ps center),'",b'www.elvalor.org',b'vincent allocco',b'irma carmona',b'',b'',b'',b'',b'',b''
188,0.9350705913134983,644,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Carlos Cantu,2434 S Kildare Ave ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'76',b'cps_early_childhood_portal_scrape.csv',b'el valor - carlos cantu',b'2434 s kildare',b'60623',b'2422700',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'',b'el valor',b'south lawndale',b'',b'',b'',b'',b'irma carmona',b'yes',b'no',b'yes',"b'4305it(child care it center), 4305ps(child care ps center),'",b'www.elvalor.org',b'vincent allocco',b'irma carmona',b'',b'',b'',b'',b'',b''
363,0.9354829490184784,645,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Wee Wee Center for Creative,2434 W 71st St ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'645',b'dfss_agencysitelies_2012.csv',b'henry booth house wee wee center for creative',b'2434 w 71st st',b'60629',b'4710869',b'',b'head start',b'half day/full day',b'',b'',b'',b'henry booth house',b'chicago lawn',b'',b'',b'',b'',b'ms. duckery',b'yes',b'no',b'no',b'',b'www.henryboothhouse.org',b'scott perkins',b'ms. duckery',b'',b'',b'',b'',b'',b''
347,0.9583711425463358,646,CPS_Early_Childhood_Portal_scrape.csv, Chopin,2450 W. Rice ,,5344080,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1486',b'dfss_agencysitelies_2012.csv',b'chopin',b'2450 w. rice',b'60622',b'5344080',b'',b'head start',b'5-6 hours',b'',b'',b'west town',b'chicago public schools',b'west town',b'',b'',b'',b'',b'ms. antuanette mester',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'ms. antuanette mester',b'',b'',b'',b'',b'',b''
474,0.9665481050809225,647,CPS_Early_Childhood_Portal_scrape.csv, Mayo,249 E. 37Th ,,5351260,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'2646',b'dfss_agencysitelies_2012.csv',b'mayo',b'249 e. 37th st',b'60653',b'5351260',b'',b'head start',b'5-6 hours',b'',b'',b'douglas',b'chicago public schools',b'grand boulevard',b'',b'',b'',b'',b'ms. nadine d. dillanado',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'stephen bournes',b'',b'',b'',b'',b'',b''
240,0.7561737696329752,648,CPS_Early_Childhood_Portal_scrape.csv, Beethoven,25 W. 47Th St. ,,5351480,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1472',b'dfss_agencysitelies_2012.csv',b'beethoven',b'25 w. 47th st.',b'60609',b'5351480',b'',b'head start',b'5-6 hours',b'',b'',b'fuller park',b'chicago public schools',b'grand boulevard',b'',b'',b'',b'',b'ms. dyrice garner',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'ms. dyrice garner',b'',b'',b'',b'',b'',b''
189,0.9779486589961581,649,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'77',b'cps_early_childhood_portal_scrape.csv',b'christopher house',b'2507 n greenview',b'60614',b'4721083',b'',b'child care',b'half day/full day',b'',b'',b'lincoln park',b'christopher house',b'lincoln park',b'',b'',b'',b'',b'aimee washington',b'yes',b'no',b'no',"b'2681it(child care it center), 3406ps(hs collaboration with c'",b'www.christopherhouse.org',b'lori baas',b'aimee washington',b'',b'04/30/14',b'129456',b'awashington@christopherhouse.org',b'',b'child care'
160,0.9965694844722748,650,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Color For Tots,2550 E 73rd St ,,3638687,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'650',b'dfss_agencysitelies_2012.csv',b'henry booth house color for tots',b'2550 e 73rd st',b'60649',b'3638687',b'',b'head start',b'half day/full day',b'',b'',b'',b'henry booth house',b'south shore',b'',b'',b'',b'',b'cassandra williams',b'yes',b'no',b'no',b'',b'www.henryboothhouse.org',b'scott perkins',b'cassandra williams',b'',b'',b'',b'',b'',b''
190,0.9698366847905245,651,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Logan Square,2610 N Francisco Ave ,,2354073,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1196',b'cps_early_childhood_portal_scrape.csv',b'christopher house logan sq',b'3255 w altgeld',b'60647',b'2354073',b'',b'child care',b'half day/full day',b'',b'',b'logan square',b'christopher house',b'logan square',b'',b'',b'',b'',b'carmen velez',b'yes',b'no',b'yes',"b'4321it(child care it center), 7087ps(hs collaboration with c'",b'www.christopherhouse.org',b'lori baas',b'carmen velez',b'',b'05/31/15',b'289774',b'cvelez@christopherhouse.org',b'',b'child care'
196,0.8779224872589111,652,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Nayarit,2610 W 25th Pl ,,8783641,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1257',b'cps_early_childhood_portal_scrape.csv',b'st. augustine college - st. augustine - nayarit',b'2610 w 25th pl',b'',b'8783641',b'',b'head start',b'half day/full day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
196,0.8779224872589111,653,CPS_Early_Childhood_Portal_scrape.csv, St. Augustine College - St. Augustine - Nayarit,2610 W 25th Pl ,,8783641,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1257',b'cps_early_childhood_portal_scrape.csv',b'st. augustine college - st. augustine - nayarit',b'2610 w 25th pl',b'',b'8783641',b'',b'head start',b'half day/full day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
935,,654,CPS_Early_Childhood_Portal_scrape.csv, Von Humboldt,2620 W. Hirsch St. ,,5344480,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,,655,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Teddy Bear 1 51st Street,2649 W 51st St ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,0.9673636158307394,656,CPS_Early_Childhood_Portal_scrape.csv, Dodge,2651 W. Washington ,,5346640,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1497',b'dfss_agencysitelies_2012.csv',b'dodge',b'2651 w. washington',b'60612',b'5346640',b'',b'head start',b'5-6 hours',b'',b'',b'east garfield park',b'chicago public schools',b'east garfield park',b'',b'',b'',b'',b'ed. / debra moris / moriarty',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'edward morris/debra moriarty',b'',b'',b'',b'',b'',b''
364,0.8918362693353132,657,CPS_Early_Childhood_Portal_scrape.csv, Gads Hill Center - Sinai Community/Ogden,2653 W Ogden Ave ,,5211196,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'2517',b'cps_early_childhood_portal_scrape.csv',b'gads hill center',b'2653 w ogden',b'60608',b'5211196',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'north lawndale',b'gads hill center',b'north lawndale',b'',b'',b'',b'',b'rick baldwin',b'yes',b'no',b'yes',b'4289sa(school age (sa))',b'www.gadshillcenter.org',b'cp',b'rick baldwin',b'',b'11/01/16',b'723718',b'bstokes@gadshillcenter.org',b'',b'early head start'
364,0.8918362693353132,658,CPS_Early_Childhood_Portal_scrape.csv, Gads Hill Center - Sinai Community/Ogden,2653 W Ogden Ave ,,5211196,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'2517',b'cps_early_childhood_portal_scrape.csv',b'gads hill center',b'2653 w ogden',b'60608',b'5211196',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'north lawndale',b'gads hill center',b'north lawndale',b'',b'',b'',b'',b'rick baldwin',b'yes',b'no',b'yes',b'4289sa(school age (sa))',b'www.gadshillcenter.org',b'cp',b'rick baldwin',b'',b'11/01/16',b'723718',b'bstokes@gadshillcenter.org',b'',b'early head start'
200,0.9987458099018444,659,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'82',b'cps_early_childhood_portal_scrape.csv',b'ymca of metropolitan chicago - rauner',b'2700 s western ave',b'60608',b'8473115',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'',b'ymca of metropolitan chicago',b'lower west side',b'',b'',b'',b'',b'sonya sifuentes',b'yes',b'yes',b'yes',"b'4167it(child care it center), 4170ps(hs collaboration with c'",b'www.ymcachicago.org',b'dorothy cole-gary',b'sonya sifuentes',b'',b'',b'',b'',b'',b''
200,0.9987458099018444,660,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'82',b'cps_early_childhood_portal_scrape.csv',b'ymca of metropolitan chicago - rauner',b'2700 s western ave',b'60608',b'8473115',b'',b'state pre-kindergarten',b'half day/full day',b'',b'',b'',b'ymca of metropolitan chicago',b'lower west side',b'',b'',b'',b'',b'sonya sifuentes',b'yes',b'yes',b'yes',"b'4167it(child care it center), 4170ps(hs collaboration with c'",b'www.ymcachicago.org',b'dorothy cole-gary',b'sonya sifuentes',b'',b'',b'',b'',b'',b''
937,,661,CPS_Early_Childhood_Portal_scrape.csv, Williams,2710 S.Dearborn ,,5349245,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,0.7913000285625458,662,CPS_Early_Childhood_Portal_scrape.csv, Lafayette,2714 W. Augusta Blvd. ,,5344326,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'662',b'cps_early_childhood_portal_scrape.csv',b'lafayette',b'2714 w. augusta blvd.',b'60622',b'5344326',b'',b'head start',b'5-6 hours',b'',b'',b'west town',b'chicago public schools',b'west town',b'',b'',b'',b'',b'mrs. trisha shrode',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'mrs. trisha shrode',b'',b'',b'',b'',b'',b''
213,0.7207597096761067,663,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.,2718 W 59th St ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'663',b'cps_early_childhood_portal_scrape.csv',"b""easter seals society of metropolitan chicago - the keeper's inst.""",b'2718 w 59th st',b'60629',b'4363177',b'',b'child care',b'extended day',b'',b'',b'',b'easter seals society of metropolitan chicago',b'chicago lawn',b'',b'',b'',b'',b'ethel daniels',b'yes',b'no',b'no',b'',b'www.easterseaslchicago.org',b'barbara zawacki',b'ethel daniels',b'',b'',b'',b'',b'',b''
161,0.8827462792396545,664,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Hegewisch,2725 E 130th ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'664',b'dfss_agencysitelies_2012.csv',b'henry booth house hegewisch',b'2725 e 130th',b'60633',b'',b'',b'head start',b'half day/full day',b'',b'',b'',b'henry booth house',b'hegewisch',b'',b'',b'',b'',b'',b'yes',b'no',b'yes',"b'4358it(child care it center), 4358ps(child care ps center),'",b'www.henryboothhouse.org',b'scott perkins',b'',b'',b'',b'',b'',b'',b''
478,0.8409181833267212,665,CPS_Early_Childhood_Portal_scrape.csv, Zapata,2728 S. Kostner ,,5341390,,Head Start,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'2865',b'dfss_agencysitelies_2012.csv',b'zapata',b'2728 s. kostner ave.',b'60623',b'5341390',b'',b'head start',b'3-4 hours',b'',b'',b'south lawndale',b'chicago public schools',b'south lawndale',b'',b'',b'',b'',b'ms. ruth f. garcia',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'ms. ruth f. garcia',b'',b'',b'',b'',b'',b''
215,0.9962477485338846,666,CPS_Early_Childhood_Portal_scrape.csv, El Valor - Centro Infantil(Puerto Rican Comm),2739 W Division St ,,3428866,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'85',b'cps_early_childhood_portal_scrape.csv',b'el valor - centro infantil(puerto rican comm)',b'2739 w division st',b'60622',b'3428866',b'',b'child care',b'extended day',b'',b'',b'',b'el valor',b'west town',b'',b'',b'',b'',b'xochiti ramirez',b'yes',b'no',b'no',b'',b'www.elvalor.org',b'vincent allocco',b'xochiti ramirez',b'',b'',b'',b'',b'',b''
479,0.9123121698697408,667,CPS_Early_Childhood_Portal_scrape.csv, Chalmers,2745 W. Roosevelt Rd. ,,5341720,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1978',b'dfss_agencysitelies_2012.csv',b'chalmers',b'2745 w. roosevelt rd.',b'60608',b'5341720',b'',b'head start',b'5-6 hours',b'',b'',b'north lawndale',b'chicago public schools',b'north lawndale',b'',b'',b'',b'',b'ms. patricia vaughn-dossiea',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'mr. kent nolen',b'',b'',b'',b'',b'',b''
938,,668,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Whiz Kidz Learning Center,2814 W Marquette Rd ,,9252859,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.8570148689406258,669,CPS_Early_Childhood_Portal_scrape.csv, Mary Crane League - Mary Crane - West,2820 N Leavitt St ,,3485528,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'86',b'cps_early_childhood_portal_scrape.csv',b'mary crane',b'2905 n. leavitt',b'60618',b'3485528',b'',b'child care',b'half day/full day',b'',b'',b'north center',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'cp',b'',b'',b'',b'',b'',b'',b'child care'
939,,670,CPS_Early_Childhood_Portal_scrape.csv, Onward Neighborhood House - Cozy Corner,2820 W North Ave ,,,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,0.9992401003837585,671,CPS_Early_Childhood_Portal_scrape.csv, Saucedo,2850 W. 24Th St. ,,5341770,,Head Start,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,,b'671',b'cps_early_childhood_portal_scrape.csv',b'saucedo',b'2850 w. 24th st.',b'60623',b'5341770',b'',b'head start',b'3-4 hours',b'',b'',b'south lawndale',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'hs-hd',b'',b'',b'',b'',b'',b'',b''
480,0.921962559223175,672,CPS_Early_Childhood_Portal_scrape.csv, Cather,2908 W. Washington ,,5346780,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,,b'1483',b'dfss_agencysitelies_2012.csv',b'cather',b'2908 w. washington blvd.',b'60612',b'5346780',b'',b'head start',b'5-6 hours',b'',b'',b'east garfield park',b'chicago public schools',b'east garfield park',b'',b'',b'',b'',b'ms. hattie b. king',b'yes',b'no',b'no',b'',b'www.cps.edu',b'paula cottone',b'ms. hattie b. king',b'',b'',b'',b'',b'',b''
940,,673,CPS_Early_Childhood_Portal_scrape.csv, Lutheran Social Services of Illinois - Trinidad / LSSI,2921 W Division St ,,2789332,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.964134285847346,674,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Near South / Henry Booth,2929 S Wabash Ave ,,7910424,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'3167',b'cps_early_childhood_portal_scrape.csv',b'henry booth house - near south / henry booth',b'2929 s wabash',b'60616',b'7910424',b'',b'community partnerships',"b'8-11 hours, varies by facility'",b'',b'',b'douglas',b'henry booth house',b'douglas',b'',b'',b'',b'',b'ms. newsome',b'yes',b'no',b'no',b'7013ps(hs collaboration with childcare)',b'www.henryboothhouse.org',b'scott perkins',b'ms. newsome',b'',b'',b'',b'',b'',b'child care'
138,0.8973956952492396,675,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1413',b'chapin_dfss_providers_2011_070212.csv',b'carole robertson center for learning',b'2929 w 19th st',b'60623',b'5211600',b'',b'head start',b'extended day',b'',b'',b'south lawndale',b'carole robertson center for learning',b'ashburn',b'',b'',b'',b'',b'jolene martin',b'yes',b'no',b'no',"b'5601ps(hs collaboration with childcare homes), 5601ip(ehs co'",b'www.crcl.net',b'cp',b'ruby walker',b'',b'09/01/15',b'486936',b'walkerr@crcl.net',b'',b'child care'
138,0.8973956952492396,676,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'1413',b'chapin_dfss_providers_2011_070212.csv',b'carole robertson center for learning',b'2929 w 19th st',b'60623',b'5211600',b'',b'head start',b'extended day',b'',b'',b'south lawndale',b'carole robertson center for learning',b'ashburn',b'',b'',b'',b'',b'jolene martin',b'yes',b'no',b'no',"b'5601ps(hs collaboration with childcare homes), 5601ip(ehs co'",b'www.crcl.net',b'cp',b'ruby walker',b'',b'09/01/15',b'486936',b'walkerr@crcl.net',b'',b'child care'
216,0.9991489052772522,677,CPS_Early_Childhood_Portal_scrape.csv, Boys and Girls Clubs of Chicago - R.E. Woods,2950 W 25th St ,,8475172,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,,b'677',b'cps_early_childhood_portal_scrape.csv',b'boys and girls clubs of chicago - r.e. woods',b'2950 w 25th st',b'',b'8475172',b'',b'child care',b'extended day',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
